scope,activity_id,molecule_chembl_id,scaffold_key,cv_fold,reference_n,maximum_tanimoto,bin,nearest_tie_count,nearest_activity_ids,nearest_molecule_ids,nearest_scaffold_keys
cv_to_other_cv_folds,14761312,CHEMBL191553,c1ccc(CNc2[nH]nc3ccnc(Oc4ccccc4)c23)cc1,0,467,0.3783783783783784,"[0.3,0.4)",1,"[""14765344""]","[""CHEMBL407960""]","[""c1ccc(CNc2n[nH]c3ccnc(Oc4ccccc4)c23)cc1""]"
cv_to_other_cv_folds,14761314,CHEMBL2158829,c1ccc(OC2CCN(CC3CCN(c4ccccc4)CC3)CC2)cc1,0,467,0.4657534246575342,"[0.4,0.6)",1,"[""14761177""]","[""CHEMBL2171018""]","[""O=C(NCCN1CCC(Oc2ccccc2)CC1)c1ccccc1""]"
cv_to_other_cv_folds,14761315,CHEMBL1917441,c1ccc(Sc2c[nH]c3ccccc23)cc1,3,465,0.5172413793103449,"[0.4,0.6)",1,"[""14759969""]","[""CHEMBL1917446""]","[""O=S(=O)(c1ccccc1)c1c[nH]c2ccccc12""]"
cv_to_other_cv_folds,14761316,CHEMBL98345,O=S(=O)(Nc1ccccc1)c1ccccc1,0,467,0.3333333333333333,"[0.3,0.4)",1,"[""14759824""]","[""CHEMBL313907""]","[""O=S(=O)(Nc1nc(-c2ccccc2)nn1Cc1ccccc1)c1ccccc1""]"
cv_to_other_cv_folds,14761320,CHEMBL459353,O=C(c1ccco1)N(Cc1ccccc1)c1ccccc1,3,465,0.7647058823529411,"[0.6,1.0]",1,"[""14765455""]","[""CHEMBL511782""]","[""O=C(c1ccccc1)N(Cc1ccccc1)c1ccccc1""]"
cv_to_other_cv_folds,14761323,CHEMBL560241,O=C(NCC1CCCCCC1)c1cccc(-c2cc[nH]n2)c1,1,462,0.35384615384615387,"[0.3,0.4)",1,"[""14762388""]","[""CHEMBL129982""]","[""O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccccc1""]"
cv_to_other_cv_folds,14761340,CHEMBL1448843,O=C(CSc1ccccc1)N1CCN(C(=O)c2ccco2)CC1,1,462,0.5,"[0.4,0.6)",1,"[""14765370""]","[""CHEMBL1308362""]","[""O=C(CSc1nnc2ccc3ccccc3n12)N1CCN(C(=O)c2ccco2)CC1""]"
cv_to_other_cv_folds,14761341,CHEMBL1209915,c1ccc(C2=NNC(c3ccccc3)C2)cc1,1,462,0.2714285714285714,"[0.2,0.3)",1,"[""14762230""]","[""CHEMBL24646""]","[""O=C1CCC(c2ccc3[nH]c(-c4ccccc4)nc3c2)=NN1""]"
cv_to_other_cv_folds,14761343,CHEMBL2164678,O=C(NC1CC1)C1CCCCC1C(=O)N1CCc2[nH]c3ccccc3c2C1,4,467,0.42168674698795183,"[0.4,0.6)",1,"[""14762355""]","[""CHEMBL2070950""]","[""O=C(NC1CC1)C1CCCCC1C(=O)N1CCN(c2nc3ccncc3s2)CC1""]"
cv_to_other_cv_folds,14761348,CHEMBL2141746,O=S(=O)(c1cccnc1)N1CCCC1,3,465,0.2638888888888889,"[0.2,0.3)",1,"[""14761367""]","[""CHEMBL1916269""]","[""O=S(=O)(Nc1ccn[nH]1)c1ccccc1""]"
